"time period","train operating company name","NR on TOC External","NR on TOC Network Management Other","NR on TOC Non Track Assets","NR on TOC Severe Weather","NR on TOC Track","TOC on Self Fleet","TOC on Self Operations","TOC on Self Stations","TOC on Self TOC Other","TOC on Self Traincrew","TOC on TOC Fleet","TOC on TOC Operations","TOC on TOC Stations","TOC on TOC TOC Other","TOC on TOC Traincrew"
"Apr 2019 to Mar 2020 (Period 01)","Avanti West Coast","6458.5","9379.7","4894.3","432.0","5191.0","4384.5","141.5","892.5","1434.0","386.5","3594.9","348.0","363.5","865.0","714.0"
"Apr 2019 to Mar 2020 (Period 02)","Avanti West Coast","13273.0","5789.2","6546.6","1424.0","5990.0","2124.0","196.5","568.0","1234.5","743.2","4943.7","338.0","601.9","1287.5","1804.0"
"Apr 2019 to Mar 2020 (Period 03)","Avanti West Coast","7063.0","13441.0","10550.5","1433.5","5058.0","5867.0","363.0","614.0","1296.0","658.5","4688.5","711.0","754.0","1765.5","3205.5"
"Apr 2019 to Mar 2020 (Period 04)","Avanti West Coast","7102.0","7642.8","13243.5","1500.5","6272.0","4226.0","279.5","427.5","1048.5","585.0","4089.5","735.8","712.0","1789.0","3155.5"
"Apr 2019 to Mar 2020 (Period 05)","Avanti West Coast","4798.0","6914.2","41323.5","17703.0","5373.0","8603.5","439.5","621.0","1050.0","1364.0","5583.5","720.0","1020.5","1430.5","2219.8"
"Apr 2019 to Mar 2020 (Period 06)","Avanti West Coast","8606.0","7583.0","10318.3","1103.0","4253.0","5519.0","175.0","697.0","1618.0","373.5","4420.7","632.9","817.0","1787.5","2909.1"
"Apr 2019 to Mar 2020 (Period 07)","Avanti West Coast","9826.3","10940.3","9515.6","1858.5","6093.2","5345.5","241.0","441.0","1649.5","850.0","7578.4","832.5","977.5","1948.4","3682.3"
"Apr 2019 to Mar 2020 (Period 08)","Avanti West Coast","11392.7","10353.9","23199.0","9197.0","3042.1","7186.0","157.0","562.0","1800.0","1756.0","6193.5","3147.1","762.5","2455.5","5722.5"
"Apr 2019 to Mar 2020 (Period 09)","Avanti West Coast","5117.9","8194.3","12819.5","5404.9","7914.0","5730.0","355.5","786.0","1963.5","1980.0","9230.5","1128.7","960.1","3136.5","4534.6"
"Apr 2019 to Mar 2020 (Period 10)","Avanti West Coast","5361.0","9502.2","6883.6","1417.7","3001.3","6660.0","245.0","3645.8","1216.5","1373.0","4837.8","878.1","870.2","1835.3","5215.5"
"Apr 2019 to Mar 2020 (Period 11)","Avanti West Coast","7767.4","9723.9","7761.5","1698.7","5777.3","3680.7","112.9","796.0","1440.0","553.5","6867.9","1187.6","556.8","1739.3","2490.5"
"Apr 2019 to Mar 2020 (Period 12)","Avanti West Coast","5328.9","7287.8","8440.9","19158.2","13766.6","4639.0","233.5","359.5","2105.5","983.6","5268.6","1085.9","523.8","1767.8","2950.4"
"Apr 2019 to Mar 2020 (Period 13)","Avanti West Coast","11290.4","6573.6","21144.7","9749.1","4478.4","4273.3","304.8","1627.0","767.0","986.4","3453.1","1032.0","231.0","1186.5","1727.7"
"Apr 2020 to Mar 2021 (Period 01)","Avanti West Coast","4416.0","4429.3","2826.5","832.0","894.0","1037.5","122.5","36.0","218.0","250.5","642.0","157.0","32.0","50.0","217.7"
"Apr 2020 to Mar 2021 (Period 02)","Avanti West Coast","1817.0","4657.0","2291.0","1321.5","2861.0","895.0","27.0","108.0","315.0","272.5","1935.5","103.0","34.0","254.5","300.0"
"Apr 2020 to Mar 2021 (Period 03)","Avanti West Coast","1407.0","3682.4","2652.0","3667.0","793.0","1626.0","38.5","90.0","432.0","126.5","1067.0","95.0","20.0","237.0","597.6"
"Apr 2020 to Mar 2021 (Period 04)","Avanti West Coast","4693.5","3862.7","3724.3","354.0","4291.0","2098.0","110.5","94.5","718.0","489.0","1737.2","156.5","53.5","223.5","667.8"
"Apr 2020 to Mar 2021 (Period 05)","Avanti West Coast","6040.6","4176.6","8637.1","4035.5","2041.2","3080.6","164.2","145.5","1026.5","429.0","3211.0","262.0","173.5","621.0","584.7"
